frame,road_width_px,road_width_ft
2,256.0,10.24
5,256.0,10.24
6,256.0,10.24
8,256.0,10.24
11,256.0,10.24
12,256.0,10.24
13,256.0,10.24
14,256.0,10.24
15,256.0,10.24
17,256.0,10.24
18,256.0,10.24
82,850.0,34.0
131,256.0,10.24
133,256.0,10.24
134,256.0,10.24
136,256.0,10.24
139,256.0,10.24
226,256.0,10.24
264,256.0,10.24
280,811.0,32.44
287,256.0,10.24
299,256.0,10.24
314,256.0,10.24
318,775.0,31.0
323,256.0,10.24
335,256.0,10.24
340,772.0,30.88
359,256.0,10.24
372,256.0,10.24
377,256.0,10.24
379,256.0,10.24
380,256.0,10.24
381,256.0,10.24
383,256.0,10.24
390,721.0,28.84
413,256.0,10.24
415,256.0,10.24
416,256.0,10.24
417,256.0,10.24
420,256.0,10.24
449,256.0,10.24
450,256.0,10.24
451,256.0,10.24
452,256.0,10.24
453,256.0,10.24
454,256.0,10.24
455,256.0,10.24
456,256.0,10.24
457,256.0,10.24
459,256.0,10.24
461,256.0,10.24
462,256.0,10.24
466,256.0,10.24
479,256.0,10.24
485,256.0,10.24
490,256.0,10.24
503,256.0,10.24
510,256.0,10.24
511,256.0,10.24
515,256.0,10.24
516,256.0,10.24
522,256.0,10.24
523,256.0,10.24
527,256.0,10.24
528,256.0,10.24
530,256.0,10.24
532,256.0,10.24
535,256.0,10.24
537,256.0,10.24
538,256.0,10.24
540,256.0,10.24
543,256.0,10.24
544,256.0,10.24
545,256.0,10.24
546,256.0,10.24
547,256.0,10.24
548,256.0,10.24
549,256.0,10.24
550,256.0,10.24
551,256.0,10.24
552,256.0,10.24
553,256.0,10.24
554,256.0,10.24
555,256.0,10.24
556,256.0,10.24
557,256.0,10.24
558,256.0,10.24
560,256.0,10.24
562,256.0,10.24
563,256.0,10.24
564,256.0,10.24
565,256.0,10.24
567,256.0,10.24
568,256.0,10.24
569,256.0,10.24
570,256.0,10.24
571,256.0,10.24
572,256.0,10.24
573,256.0,10.24
574,256.0,10.24
579,256.0,10.24
580,256.0,10.24
582,256.0,10.24
583,256.0,10.24
584,256.0,10.24
585,256.0,10.24
586,256.0,10.24
587,256.0,10.24
588,256.0,10.24
589,256.0,10.24
590,256.0,10.24
591,256.0,10.24
592,256.0,10.24
593,256.0,10.24
594,256.0,10.24
595,256.0,10.24
596,256.0,10.24
597,256.0,10.24
598,256.0,10.24
600,256.0,10.24
601,256.0,10.24
602,256.0,10.24
605,256.0,10.24
609,899.0,35.96
610,256.0,10.24
611,256.0,10.24
612,256.0,10.24
613,256.0,10.24
614,256.0,10.24
615,256.0,10.24
616,256.0,10.24
617,256.0,10.24
618,256.0,10.24
619,256.0,10.24
621,256.0,10.24
622,256.0,10.24
623,256.0,10.24
626,256.0,10.24
628,256.0,10.24
637,256.0,10.24
639,256.0,10.24
641,256.0,10.24
661,256.0,10.24
666,256.0,10.24
668,256.0,10.24
669,256.0,10.24
672,256.0,10.24
675,256.0,10.24
676,256.0,10.24
677,256.0,10.24
678,256.0,10.24
691,256.0,10.24
699,256.0,10.24
700,256.0,10.24
702,256.0,10.24
703,256.0,10.24
705,256.0,10.24
706,256.0,10.24
707,256.0,10.24
712,256.0,10.24
713,256.0,10.24
716,256.0,10.24
719,256.0,10.24
720,256.0,10.24
721,256.0,10.24
722,256.0,10.24
725,256.0,10.24
726,256.0,10.24
728,256.0,10.24
729,256.0,10.24
730,256.0,10.24
731,256.0,10.24
732,256.0,10.24
733,256.0,10.24
734,256.0,10.24
735,256.0,10.24
736,256.0,10.24
737,256.0,10.24
738,256.0,10.24
739,256.0,10.24
741,256.0,10.24
742,256.0,10.24
743,256.0,10.24
744,256.0,10.24
745,256.0,10.24
746,256.0,10.24
747,256.0,10.24
748,256.0,10.24
750,256.0,10.24
751,256.0,10.24
752,256.0,10.24
754,256.0,10.24
755,256.0,10.24
757,256.0,10.24
758,256.0,10.24
759,256.0,10.24
763,256.0,10.24
764,256.0,10.24
766,256.0,10.24
767,256.0,10.24
768,256.0,10.24
770,256.0,10.24
771,256.0,10.24
772,256.0,10.24
775,256.0,10.24
776,256.0,10.24
777,256.0,10.24
778,256.0,10.24
779,256.0,10.24
780,256.0,10.24
781,256.0,10.24
782,256.0,10.24
783,256.0,10.24
784,256.0,10.24
786,256.0,10.24
787,256.0,10.24
789,256.0,10.24
790,256.0,10.24
791,256.0,10.24
792,256.0,10.24
793,256.0,10.24
795,256.0,10.24
796,256.0,10.24
797,256.0,10.24
799,256.0,10.24
800,256.0,10.24
801,256.0,10.24
802,256.0,10.24
809,256.0,10.24
810,256.0,10.24
811,256.0,10.24
812,256.0,10.24
813,256.0,10.24
814,256.0,10.24
815,256.0,10.24
816,256.0,10.24
817,256.0,10.24
818,256.0,10.24
819,256.0,10.24
820,256.0,10.24
821,256.0,10.24
824,256.0,10.24
825,256.0,10.24
826,256.0,10.24
828,256.0,10.24
830,256.0,10.24
831,256.0,10.24
833,256.0,10.24
834,256.0,10.24
835,256.0,10.24
839,256.0,10.24
840,256.0,10.24
841,256.0,10.24
842,256.0,10.24
843,256.0,10.24
844,256.0,10.24
845,256.0,10.24
846,256.0,10.24
847,256.0,10.24
848,256.0,10.24
849,256.0,10.24
850,256.0,10.24
851,256.0,10.24
852,256.0,10.24
853,256.0,10.24
855,256.0,10.24
856,256.0,10.24
857,256.0,10.24
858,256.0,10.24
859,256.0,10.24
860,256.0,10.24
864,256.0,10.24
865,256.0,10.24
866,256.0,10.24
867,256.0,10.24
868,256.0,10.24
869,256.0,10.24
870,256.0,10.24
871,256.0,10.24
873,256.0,10.24
874,256.0,10.24
876,256.0,10.24
877,256.0,10.24
878,256.0,10.24
879,256.0,10.24
880,256.0,10.24
881,256.0,10.24
882,256.0,10.24
883,256.0,10.24
884,256.0,10.24
885,256.0,10.24
886,256.0,10.24
887,256.0,10.24
888,256.0,10.24
889,256.0,10.24
891,256.0,10.24
892,256.0,10.24
893,256.0,10.24
894,256.0,10.24
895,256.0,10.24
896,256.0,10.24
897,256.0,10.24
898,256.0,10.24
899,256.0,10.24
900,256.0,10.24
901,256.0,10.24
902,256.0,10.24
903,256.0,10.24
904,256.0,10.24
905,256.0,10.24
907,256.0,10.24
908,256.0,10.24
909,256.0,10.24
911,256.0,10.24
912,256.0,10.24
913,256.0,10.24
914,256.0,10.24
915,256.0,10.24
916,256.0,10.24
917,256.0,10.24
918,256.0,10.24
919,256.0,10.24
920,256.0,10.24
921,256.0,10.24
922,256.0,10.24
923,256.0,10.24
924,256.0,10.24
925,256.0,10.24
926,256.0,10.24
927,256.0,10.24
929,256.0,10.24
930,256.0,10.24
931,256.0,10.24
932,256.0,10.24
933,256.0,10.24
934,256.0,10.24
935,256.0,10.24
936,256.0,10.24
937,256.0,10.24
938,256.0,10.24
939,256.0,10.24
940,256.0,10.24
941,256.0,10.24
942,256.0,10.24
943,256.0,10.24
944,256.0,10.24
945,256.0,10.24
946,256.0,10.24
947,256.0,10.24
948,256.0,10.24
949,256.0,10.24
950,256.0,10.24
951,256.0,10.24
952,256.0,10.24
953,256.0,10.24
954,256.0,10.24
955,256.0,10.24
956,256.0,10.24
957,256.0,10.24
958,256.0,10.24
959,256.0,10.24
960,256.0,10.24
961,256.0,10.24
962,256.0,10.24
963,256.0,10.24
964,256.0,10.24
965,256.0,10.24
966,256.0,10.24
967,256.0,10.24
968,256.0,10.24
969,256.0,10.24
970,256.0,10.24
972,256.0,10.24
980,256.0,10.24
981,256.0,10.24
982,256.0,10.24
983,256.0,10.24
984,256.0,10.24
985,256.0,10.24
986,256.0,10.24
987,256.0,10.24
988,256.0,10.24
989,256.0,10.24
991,256.0,10.24
992,256.0,10.24
993,256.0,10.24
994,256.0,10.24
995,256.0,10.24
997,256.0,10.24
999,256.0,10.24
1000,256.0,10.24
1001,256.0,10.24
1002,256.0,10.24
1004,256.0,10.24
1005,256.0,10.24
1007,256.0,10.24
1008,256.0,10.24
1009,256.0,10.24
1010,256.0,10.24
1011,256.0,10.24
1012,256.0,10.24
1014,256.0,10.24
1015,256.0,10.24
1017,256.0,10.24
1018,256.0,10.24
1019,256.0,10.24
1020,256.0,10.24
1022,256.0,10.24
1023,256.0,10.24
1026,256.0,10.24
1027,256.0,10.24
1028,256.0,10.24
1029,256.0,10.24
1030,256.0,10.24
1031,256.0,10.24
1032,256.0,10.24
1034,256.0,10.24
1035,256.0,10.24
1036,256.0,10.24
1037,256.0,10.24
1038,256.0,10.24
1039,256.0,10.24
1042,256.0,10.24
1043,256.0,10.24
1044,256.0,10.24
1046,256.0,10.24
1047,256.0,10.24
1048,256.0,10.24
1049,256.0,10.24
1050,256.0,10.24
1051,256.0,10.24
1052,256.0,10.24
1055,960.0,38.4
1058,256.0,10.24
1061,256.0,10.24
1062,256.0,10.24
1063,256.0,10.24
1064,256.0,10.24
1065,256.0,10.24
1067,256.0,10.24
1070,256.0,10.24
1071,256.0,10.24
1072,256.0,10.24
