frame,road_width_px,road_width_ft
0,296.0,
1,290.0,
2,293.0,
3,350.0,
4,390.0,
5,422.0,
6,439.0,
7,490.0,
8,431.0,
9,392.0,
10,420.0,
11,438.0,
12,482.0,
13,424.0,
14,442.0,
15,501.0,
16,526.0,
17,571.0,
18,570.0,
19,600.0,
20,463.0,
21,363.0,
22,292.0,
23,340.0,
24,460.0,
25,527.0,
26,482.0,
27,450.0,
28,476.0,
29,513.0,
30,581.0,
31,622.0,
32,644.0,
33,536.0,
34,465.0,
35,417.0,
36,493.0,
37,413.0,
38,463.0,
39,418.0,
40,448.0,
41,543.0,
42,614.0,
43,658.0,
44,689.0,
45,703.0,
46,739.0,
47,692.0,
48,585.0,
49,600.0,
50,537.0,
51,531.0,
52,542.0,
53,559.0,
54,568.0,
55,576.0,
56,576.0,
57,503.0,
58,473.0,
59,374.0,
60,310.0,
61,267.0,
62,239.0,
63,244.0,
64,225.0,
65,294.0,
66,420.0,
67,429.0,
68,442.0,
69,451.0,
70,319.0,
71,266.0,
72,280.0,
73,370.0,
74,490.0,
75,414.0,
76,373.0,
77,439.0,
78,480.0,
79,533.0,
80,624.0,
81,685.0,
82,725.0,
83,620.0,
84,541.0,
85,563.0,
86,610.0,
87,536.0,
88,449.0,
89,412.0,
90,460.0,
91,544.0,
92,633.0,
93,663.0,
94,528.0,
95,479.0,
96,430.0,
97,378.0,
98,344.0,
99,336.0,
100,282.0,
101,288.0,
102,382.0,
103,394.0,
104,412.0,
105,409.0,
106,463.0,
107,525.0,
108,409.0,
109,400.0,
110,453.0,
111,527.0,
112,598.0,
113,505.0,
114,518.0,
115,531.0,
116,540.0,
117,542.0,
118,612.0,
119,613.0,
120,482.0,
121,394.0,
122,455.0,
123,367.0,
124,312.0,
125,267.0,
126,417.0,
127,391.0,
128,352.0,
129,292.0,
130,362.0,
131,345.0,
132,365.0,
133,340.0,
134,291.0,
135,413.0,
136,389.0,
137,459.0,
138,437.0,
139,368.0,
140,415.0,
141,446.0,
142,493.0,
143,532.0,
144,587.0,
145,640.0,
146,500.0,
147,441.0,
148,402.0,
149,423.0,
150,383.0,
151,320.0,
152,303.0,
153,288.0,
154,211.0,
155,301.0,
156,361.0,
157,399.0,
158,286.0,
159,207.0,
160,239.0,
161,197.0,
162,143.0,
163,168.0,
164,288.0,
165,315.0,
166,299.0,
167,356.0,
168,357.0,
169,398.0,
170,462.0,
171,330.0,
172,416.0,
173,297.0,
174,219.0,
175,188.0,
176,298.0,
177,343.0,
178,402.0,
179,392.0,
180,333.0,
181,424.0,
182,301.0,
183,216.0,
184,155.0,
185,112.0,
186,82.0,
187,62.0,
188,126.0,
189,171.0,
190,128.0,
191,233.0,
192,310.0,
193,365.0,
194,398.0,
195,287.0,
196,207.0,
197,147.0,
198,108.0,
199,218.0,
200,243.0,
201,256.0,
202,257.0,
203,259.0,
204,322.0,
205,370.0,
206,403.0,
207,287.0,
208,205.0,
209,146.0,
210,107.0,
211,78.0,
212,57.0,
213,115.0,
214,85.0,
215,65.0,
216,179.0,
217,132.0,
218,98.0,
219,75.0,
220,59.0,
221,48.0,
222,40.0,
223,37.0,
224,35.0,
225,31.0,
226,27.0,
227,93.0,
228,205.0,
229,280.0,
230,316.0,
231,357.0,
232,262.0,
233,221.0,
234,191.0,
235,174.0,
236,172.0,
237,162.0,
238,157.0,
239,223.0,
240,315.0,
241,391.0,
242,441.0,
243,465.0,
244,383.0,
245,377.0,
246,305.0,
247,334.0,
248,352.0,
249,362.0,
250,441.0,
251,415.0,
252,477.0,
253,512.0,
254,416.0,
255,337.0,
256,274.0,
257,259.0,
258,224.0,
259,199.0,
260,265.0,
261,330.0,
262,349.0,
263,353.0,
264,425.0,
265,523.0,
266,598.0,
267,581.0,
268,568.0,
269,432.0,
270,416.0,
271,337.0,
272,278.0,
273,336.0,
274,350.0,
275,371.0,
276,432.0,
277,480.0,
278,498.0,
279,504.0,
280,514.0,
281,404.0,
282,390.0,
283,392.0,
284,383.0,
285,426.0,
286,418.0,
287,407.0,
288,439.0,
289,456.0,
290,472.0,
291,483.0,
292,493.0,
293,390.0,
294,318.0,
295,268.0,
296,234.0,
297,210.0,
298,191.0,
299,243.0,
300,317.0,
301,344.0,
302,384.0,
303,445.0,
304,362.0,
305,303.0,
306,259.0,
307,335.0,
308,409.0,
309,495.0,
310,453.0,
311,427.0,
312,498.0,
313,503.0,
314,507.0,
315,503.0,
316,399.0,
317,428.0,
318,345.0,
319,387.0,
320,435.0,
321,352.0,
322,359.0,
323,397.0,
324,424.0,
325,459.0,
326,485.0,
327,504.0,
328,520.0,
329,408.0,
330,428.0,
331,440.0,
332,442.0,
333,352.0,
334,290.0,
335,345.0,
336,377.0,
337,398.0,
338,410.0,
339,449.0,
340,519.0,
341,457.0,
342,444.0,
343,448.0,
344,358.0,
345,295.0,
346,344.0,
347,283.0,
348,327.0,
349,360.0,
350,387.0,
351,425.0,
352,427.0,
353,429.0,
354,432.0,
355,436.0,
356,432.0,
357,436.0,
358,424.0,
359,462.0,
360,502.0,
361,530.0,
362,533.0,
363,578.0,
364,499.0,
365,500.0,
366,586.0,
367,600.0,
368,644.0,
369,692.0,
370,609.0,
371,580.0,
